Row Labels,Average of SVENY01,Average of SVENY02,Average of SVENY05,Average of SVENY10
<1/06/1987,,,,
(blank),,,,
Feb,1.041431579,1.461973684,1.830715789,2.009789474
Mar,1.413343478,1.942191304,2.138669565,2.179491304
Apr,1.9454,2.55723,2.794075,2.798135
May,2.094666667,2.625461905,2.885119048,2.969833333
Jun,2.66882381,3.030242857,3.190657143,3.220928571
Jul,3.0197,3.07399,2.9603,2.968315
Aug,3.20313913,3.259047826,3.041413043,2.927452174
Sep,3.863928571,3.907166667,3.70012381,3.559552381
Oct,4.424885,4.42573,4.17181,4.0375
Nov,4.680085,4.49428,4.05544,3.94066
Dec,4.590847619,4.280942857,3.758014286,3.605538095
2023,4.844431944,4.37556875,3.763945833,3.6658875
Jan,4.619185,4.20546,3.61072,3.515125
Feb,4.905605263,4.518168421,3.898168421,3.733342105
Mar,4.694652174,4.3242,3.808913043,3.694017391
Apr,4.56079,4.04253,3.50946,3.48507
May,4.760540909,4.150404545,3.562322727,3.608513636
Jun,5.1461,4.629814286,3.900519048,3.75382381
Jul,5.263957895,4.804489474,4.086968421,3.882652632
Grand Total,3.279800253,3.504177222,4.076909584,4.714755856
